% f evaluations | g evaluations | best noise-free fitness - Fopt (-6.300000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.831961742e+04 +1.831331742e+04 +1.831331742e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
19 0 +1.133044749e+04 +1.132414749e+04 +1.132414749e+04 +2.2118e+00 -2.5130e+00 -1.8681e+00 +5.0100e-01 +2.1231e+00 -4.1927e+00 +1.0352e+00 +1.8152e+00 +4.0224e-01 -1.0868e+00 -1.4490e+00 +1.4227e-02 -2.4734e+00 +2.4649e+00 +1.1452e-01 -5.3003e-01 -1.8913e+00 -3.3017e+00 -2.5884e-01 -2.8915e+00
91 0 +5.002914678e+03 +4.996614678e+03 +4.996614678e+03 +2.6427e+00 -4.4480e+00 -1.9178e+00 +1.8259e+00 +1.9590e+00 -1.6165e+00 -1.1326e+00 -1.2052e+00 +2.5287e+00 +1.0297e+00 -3.3808e+00 +1.8865e+00 -5.3177e-01 +9.1861e-01 +9.6096e-02 +2.0263e+00 -2.5722e+00 -2.6506e+00 -2.2865e+00 -2.3594e+00
161 0 +2.082594228e+03 +2.076294228e+03 +2.076294228e+03 -6.8695e-01 -2.5349e+00 -1.1696e+00 +1.1920e+00 -2.3439e+00 +1.4853e-01 +9.1629e-01 +4.1767e-01 +1.4791e+00 -8.7079e-03 -2.3814e+00 +9.2185e-01 -8.2180e-01 +1.6694e+00 +7.0448e-01 +7.9302e-01 -1.9658e+00 -3.5595e-01 -1.6429e+00 -1.4802e+00
183 0 +1.634074702e+03 +1.627774702e+03 +1.627774702e+03 +1.5295e+00 -1.5335e+00 -2.6553e+00 +1.1443e+00 -3.3999e+00 +5.7658e-01 +5.2904e-01 +3.5803e-01 +1.9632e+00 +1.0171e-01 -7.5272e-01 +2.0432e+00 +9.6569e-01 +7.9867e-01 -1.3463e+00 +5.9413e-01 -9.7652e-01 -1.9153e+00 -1.2133e+00 -1.7681e+00
184 0 +1.082849398e+03 +1.076549398e+03 +1.076549398e+03 +3.6312e-01 -2.4240e+00 -1.5789e+00 +1.7549e+00 -6.4310e-01 +5.2793e-01 +9.6896e-01 +9.4510e-01 +5.5975e-01 -8.1184e-01 -2.5945e+00 +1.9847e+00 -8.1396e-01 +5.2099e-01 -1.3334e+00 +1.3474e+00 -1.2620e+00 -4.3360e-01 -1.8608e+00 -4.2435e-01
191 0 +1.647019536e+01 +1.017019536e+01 +1.017019536e+01 +1.5800e+00 -2.7704e+00 -1.0990e+00 -5.5592e-02 -7.6785e-01 -1.0421e+00 +1.0290e+00 -1.6296e-01 +7.1209e-01 +9.0002e-01 -2.1755e-01 +1.3413e+00 -2.2524e+00 +7.5233e-01 -2.5073e+00 +8.1019e-01 -1.8659e+00 -1.0186e+00 -1.2642e+00 -1.6775e+00
229 0 +4.594450673e+00 -1.705549327e+00 -1.705549327e+00 +7.1280e-01 -2.1599e+00 +1.9101e-01 +8.2573e-01 -1.7109e+00 +9.5893e-01 -2.9969e-01 -1.4146e+00 +1.7075e+00 +6.1712e-01 -2.7021e+00 +1.1183e+00 -1.5233e+00 +1.5508e+00 -1.8484e+00 +7.9955e-01 -1.1714e+00 -1.7404e+00 -1.5365e+00 -2.0636e+00
230 0 +4.123243139e+00 -2.176756861e+00 -2.176756861e+00 -9.4003e-02 -2.2977e+00 -8.4060e-01 +6.4117e-01 +4.0414e-01 +2.4089e-01 +3.9142e-01 -3.8259e-01 +1.8377e+00 +1.4769e+00 -1.1982e+00 +2.3793e+00 -2.9944e-01 +1.0703e+00 -2.1984e+00 +1.4539e+00 -2.0133e+00 -1.0021e+00 -2.1227e+00 -2.0546e+00
288 0 +3.989756751e+00 -2.310243249e+00 -2.310243249e+00 +3.0404e-01 -2.9191e+00 -1.7069e+00 -9.5176e-01 -2.1797e+00 +1.0420e+00 +1.5239e+00 -8.2529e-01 +2.6513e+00 +1.4248e+00 -1.8859e+00 +3.6570e-01 -7.5629e-01 +1.9869e+00 -2.1240e+00 +1.0986e+00 -2.2600e+00 -1.0041e+00 -1.3301e+00 -1.8650e+00
387 0 +3.640152238e+00 -2.659847762e+00 -2.659847762e+00 -2.2545e+00 -3.0775e+00 -1.8010e+00 -9.4489e-01 -1.5138e+00 +5.2106e-02 +2.3573e+00 -1.2623e+00 +1.5918e+00 +7.2890e-01 -9.6040e-01 +8.9277e-01 -1.4971e+00 +1.3511e+00 -2.1319e+00 +5.4496e-01 -1.6864e+00 -1.2642e+00 -2.3748e+00 -1.7628e+00
